"question","response"
"make install?","Run make install from repo root to install Python dependencies (runs pip install -r requirements.txt). Or run ./scripts/install_pi.sh. For editable install run pip install -e . after."
"app.yaml?","configs/app.yaml holds main app settings: camera_index (e.g. 0), resolution [width height], detector (ir or bright), threshold, profile (e.g. classroom), and optional use_libcamera, use_kalman, projector_profile. See docs/config_reference.md."
"What is app yaml?","configs/app.yaml holds main app settings: camera_index (e.g. 0), resolution [width height], detector (ir or bright), threshold, profile (e.g. classroom), and optional use_libcamera, use_kalman, projector_profile. See docs/config_reference.md."
"camera_index?","camera_index is the camera device number. On Linux, 0 usually means /dev/video0, 1 means /dev/video1. Set it in configs/app.yaml. Use ls /dev/video* to see available devices."
"Camera index?","camera_index is the camera device number. On Linux, 0 usually means /dev/video0, 1 means /dev/video1. Set it in configs/app.yaml. Use ls /dev/video* to see available devices."
"Set resolution?","In configs/app.yaml set resolution as a list, e.g. [640, 480] or [1280, 720]. This is the capture resolution. Projector resolution comes from calibration or projector_profile."
"Resolution config?","In configs/app.yaml set resolution as a list, e.g. [640, 480] or [1280, 720]. This is the capture resolution. Projector resolution comes from calibration or projector_profile."
"detector?","detector can be ir (IR blob detection for IR pen) or bright (bright-point detection for laser or bright LED). Set it in configs/app.yaml. Use ir when using an IR pen with an IR-sensitive camera."
"Detector setting?","detector can be ir (IR blob detection for IR pen) or bright (bright-point detection for laser or bright LED). Set it in configs/app.yaml. Use ir when using an IR pen with an IR-sensitive camera."
"threshold?","threshold is the pixel intensity (0–255) above which a point is treated as the pointer. Higher values are stricter. It can be set in app.yaml or overridden by the selected profile (configs/profiles/)."
"Threshold config?","threshold is the pixel intensity (0–255) above which a point is treated as the pointer. Higher values are stricter. It can be set in app.yaml or overridden by the selected profile (configs/profiles/)."
"Profiles?","Profiles in configs/profiles/ (e.g. classroom.yaml, dark_room.yaml, daylight.yaml) override app.yaml settings for different lighting. Set profile: classroom (or dark_room, daylight) in app.yaml. They can set threshold, blur, and exposure hints."
"Config profiles?","Profiles in configs/profiles/ (e.g. classroom.yaml, dark_room.yaml, daylight.yaml) override app.yaml settings for different lighting. Set profile: classroom (or dark_room, daylight) in app.yaml. They can set threshold, blur, and exposure hints."
"use_libcamera?","Set use_libcamera: true in configs/app.yaml and install picamera2 (e.g. pip install picamera2). Also install libcamera: sudo apt install -y libcamera-dev python3-libcamera. picamera2 is not in requirements.txt."
"Libcamera?","Set use_libcamera: true in configs/app.yaml and install picamera2 (e.g. pip install picamera2). Also install libcamera: sudo apt install -y libcamera-dev python3-libcamera. picamera2 is not in requirements.txt."
"use_kalman?","use_kalman in app.yaml enables a 2D constant-velocity Kalman filter for pointer smoothing instead of the default EMA. Set to true to try it; default is false."
"Kalman?","use_kalman in app.yaml enables a 2D constant-velocity Kalman filter for pointer smoothing instead of the default EMA. Set to true to try it; default is false."
"projector_profile?","projector_profile in app.yaml is the name of a file in hardware/projector_profiles/ (e.g. generic_1080p). When no calibration exists, the app uses that file for display size. Optional."
"Projector profile?","projector_profile in app.yaml is the name of a file in hardware/projector_profiles/ (e.g. generic_1080p). When no calibration exists, the app uses that file for display size. Optional."
"blur?","blur is the Gaussian blur kernel size (odd integer in pixels) applied before detection; 0 means no blur. Set in app.yaml or in a profile. Larger values reduce noise but can soften small pointers."
"Blur config?","blur is the Gaussian blur kernel size (odd integer in pixels) applied before detection; 0 means no blur. Set in app.yaml or in a profile. Larger values reduce noise but can soften small pointers."
"config-dir?","Default config directory is configs/. Override with smartpi --config-dir /path/to/configs run (or calibrate, healthcheck, etc.). App and wizard load app.yaml and profiles from this directory; calibration.yaml is stored there."
"Config dir?","Default config directory is configs/. Override with smartpi --config-dir /path/to/configs run (or calibrate, healthcheck, etc.). App and wizard load app.yaml and profiles from this directory; calibration.yaml is stored there."
"Calibrate?","Run smartpi calibrate. The wizard shows four corner targets; tap each with your pointer in order (top-left, top-right, bottom-right, bottom-left). Calibration is saved to configs/calibration.yaml. Target: under 2 minutes. See docs/05_calibration_ux.md."
"How to calibrate?","Run smartpi calibrate. The wizard shows four corner targets; tap each with your pointer in order (top-left, top-right, bottom-right, bottom-left). Calibration is saved to configs/calibration.yaml. Target: under 2 minutes. See docs/05_calibration_ux.md."
"Where is calibration saved?","Calibration is saved to configs/calibration.yaml. Do not commit this file; it is machine-specific. Use configs/calibration.yaml.example as a schema reference."
"Calibration file?","Calibration is saved to configs/calibration.yaml. Do not commit this file; it is machine-specific. Use configs/calibration.yaml.example as a schema reference."
"Calibration flow?","Four corner flow: app shows four targets in order; you tap each with the pointer; app records camera-space points; homography is solved and saved to configs/calibration.yaml. Optional validation step shows reprojection error. See docs/05_calibration_ux.md."
"4 corner flow?","Four corner flow: app shows four targets in order; you tap each with the pointer; app records camera-space points; homography is solved and saved to configs/calibration.yaml. Optional validation step shows reprojection error. See docs/05_calibration_ux.md."
"Recalibrate?","Recalibrate: run smartpi calibrate again. Tap all four corners accurately with the pointer steady. If the camera was moved, calibration is invalid. Check reprojection error after calibration; if high, repeat or adjust camera angle. See docs/07_troubleshooting.md."
"Recalibration?","Recalibrate: run smartpi calibrate again. Tap all four corners accurately with the pointer steady. If the camera was moved, calibration is invalid. Check reprojection error after calibration; if high, repeat or adjust camera angle. See docs/07_troubleshooting.md."
"DST_PTS?","DST_PTS are the fixed projector-space coordinates for the four corners used in calibration. The wizard maps the four camera-space points you tap to these four projector corners to compute the homography."
"Destination points?","DST_PTS are the fixed projector-space coordinates for the four corners used in calibration. The wizard maps the four camera-space points you tap to these four projector corners to compute the homography."
"Run app?","Run smartpi run from the repo root. For fullscreen use smartpi run --fullscreen. You can also use ./scripts/run_demo.sh. Ensure camera and projector are connected and calibration is done (smartpi calibrate) first."
"How to run?","Run smartpi run from the repo root. For fullscreen use smartpi run --fullscreen. You can also use ./scripts/run_demo.sh. Ensure camera and projector are connected and calibration is done (smartpi calibrate) first."
"Fullscreen?","Run smartpi run --fullscreen. The app uses Pygame fullscreen mode. For kiosk, use systemd or autostart so the app starts fullscreen at boot."
"Run fullscreen?","Run smartpi run --fullscreen. The app uses Pygame fullscreen mode. For kiosk, use systemd or autostart so the app starts fullscreen at boot."
"Healthcheck?","Run smartpi healthcheck (or ./scripts/healthcheck.sh). It reports PASS/FAIL for the camera, resolution, FPS, and optionally CPU temperature. Fix any failures before calibrating or running the demo."
"smartpi healthcheck?","Run smartpi healthcheck (or ./scripts/healthcheck.sh). It reports PASS/FAIL for the camera, resolution, FPS, and optionally CPU temperature. Fix any failures before calibrating or running the demo."
"bom command?","smartpi bom prints the main BOM from hardware/bom.csv to stdout. Use --pen to also print hardware/ir_pen/pen_bom.csv. Use --repo to set repo path (default .). Exits with 1 if main BOM file is missing."
"smartpi bom?","smartpi bom prints the main BOM from hardware/bom.csv to stdout. Use --pen to also print hardware/ir_pen/pen_bom.csv. Use --repo to set repo path (default .). Exits with 1 if main BOM file is missing."
"Export diagnostics?","Run smartpi export-diagnostics (or ./scripts/export_diagnostics.sh). Default output is diagnostics_bundle.tar.gz with system info and optionally config (excluding calibration). Use -o path and --no-config as needed."
"export-diagnostics?","Run smartpi export-diagnostics (or ./scripts/export_diagnostics.sh). Default output is diagnostics_bundle.tar.gz with system info and optionally config (excluding calibration). Use -o path and --no-config as needed."
"No camera?","Check connection (re-seat USB or CSI). On Linux run ls /dev/video* (USB) or libcamera-hello --list-cameras (CSI). Enable camera in raspi-config if needed. Ensure user is in video group: sudo usermod -aG video $USER then log out and back in. Set correct camera_index in configs/app.yaml."
